*Tudo deve estar em Regime de Competência,UNIT,05/2024,06/2024,07/2024,08/2024,09/2024,10/2024,11/2024,12/2024,01/2025,02/2025,03/2025,04/2025,05/2025,06/2025,07/2025,08/2025,09/2025,10/2025,11/2025,12/2025
          EaM - BR,BRL,-,-,-,-,-,-,-,-,-,"R$50.108,00","R$54.592,00","R$60.994,00","R$61.776,00",-,-,-,-,-,-,-
          EaM - US,BRL,-,-,-,-,-,-,-,-,-,"R$3.778,00","R$3.016,00","R$3.732,00","R$4.518,00",-,-,-,-,-,-,-
          Affiliates & Events,BRL,"R$568,00","R$396,00","R$154,00","R$168,00","R$144,00","R$82,00","R$144,00","R$54,00","R$64,00","R$308,00","R$340,00","R$68,00","R$118,00",-,-,-,-,-,-,-
          Google Ads,BRL,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
          Apple Search Ads (ASA),BRL,-,-,-,-,-,-,-,"R$49,89","R$630,08",-,-,-,-,-,-,-,-,-,-,-
          Meta Ads,BRL,-,-,-,-,-,-,-,-,-,"R$0,00","R$680,84","R$0,00","R$1.953,56","R$2.000,00","R$2.000,00","R$2.000,00","R$2.000,00","R$2.000,00","R$2.000,00","R$2.000,00"
     Wages,BRL,#REF!,,,,,,,,,,,,,,,"R$78.525,00","R$78.525,00","R$78.525,00","R$78.525,00","R$78.525,00"
     Tech Support & Services,BRL,"R$19.263,97","R$21.820,16","R$21.690,86","R$20.072,43","R$23.667,64","R$32.581,38","R$22.033,14","R$19.601,80","R$20.905,78","R$21.587,86","R$23.803,22","R$32.700,81","R$26.712,83","R$27.447,70","R$26.203,33","R$28.132,92","R$23.587,51","R$23.587,51","R$23.587,51","R$23.587,51"
          Conta Azul,BRL,"R$279,90","R$279,90","R$279,90","R$279,90","R$279,90","R$339,90","R$339,90","R$339,90","R$339,90","R$809,90","R$809,90","R$208,07","R$208,07","R$401,46","R$401,44","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
          G Suite,BRL,"R$1.257,28","R$1.192,80","R$1.176,00","R$1.176,00","R$1.176,00","R$1.335,84","R$1.440,60","R$1.482,86","R$1.232,19","R$1.076,25","R$1.206,25","R$1.428,46","R$1.428,88","R$1.564,73","R$1.498,44","R$1.500,00","R$1.500,00","R$1.500,00","R$1.500,00","R$1.500,00"
          Adobe Creative Cloud,BRL,"R$124,00","R$124,00","R$275,00","R$275,00","R$275,00","R$275,00","R$275,00","R$275,00","R$275,00","R$139,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00","R$278,00"
          Calendly,BRL,"R$55,72","R$57,97","R$58,30","R$60,68","R$60,77","R$60,30","R$62,27","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
          Slack,BRL,"R$352,73","R$290,53","R$355,67","R$309,40","R$522,07","R$828,11","R$545,36","R$557,83","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$25,03","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
          LinkedIn,BRL,"R$634,99","R$634,99","R$634,99","R$634,99","R$634,99","R$3.749,02","R$634,99","R$0,00","R$0,00","R$0,00","R$3.242,39","R$8.242,52","R$3.198,99","R$1.763,36","R$739,99","R$739,99","R$0,00","R$0,00","R$0,00","R$0,00"
          GitHub,BRL,"R$329,24","R$384,63","R$453,83","R$454,57","R$463,44","R$525,42","R$642,51","R$652,46","R$594,28","R$578,51","R$527,54","R$349,16","R$512,24","R$506,68","R$506,17","R$720,00","R$720,00","R$720,00","R$720,00","R$720,00"
          DocSend (annual plan),BRL,"R$82,89","R$88,55","R$89,81","R$87,88","R$87,80","R$91,97","R$93,57","R$100,20","R$97,27","R$91,62","R$90,92","R$94,38","R$90,82","R$88,17","R$89,55","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00"
          Envato,BRL,"R$182,76","R$191,17","R$193,47","R$194,81","R$196,80","R$202,30","R$205,73","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
          Miro,BRL,"R$363,01","R$521,49","R$531,98","R$546,11","R$541,52","R$531,08","R$550,50","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00","R$0,00"
          Amplitude,BRL,"R$11.789,56","R$14.035,77","R$14.519,04","R$12.784,50","R$16.488,63","R$21.588,66","R$13.732,32","R$13.446,31","R$15.525,12","R$16.448,15","R$14.795,32","R$19.012,19","R$17.628,03","R$19.686,71","R$19.686,71","R$20.474,89","R$16.439,51","R$16.439,51","R$16.439,51","R$16.439,51"
          1Password,BRL,"R$612,24","R$635,36","R$642,19","R$654,24","R$669,34","R$759,42","R$875,96","R$650,94","R$520,68","R$403,35","R$528,98","R$568,64","R$592,07","R$651,96","R$651,72","R$900,00","R$900,00","R$900,00","R$900,00","R$900,00"
          Vercel Pro,BRL,"R$111,19","R$116,43","R$116,87","R$118,63","R$122,18","R$120,59","R$336,54","R$346,54","R$221,77","R$209,92","R$211,95","R$126,50","R$121,59","R$118,65","R$118,61","R$120,04","R$350,00","R$350,00","R$350,00","R$350,00"
          ManyChat,BRL,"R$140,35","R$149,15","R$53,99","R$91,31","R$88,19","R$93,66","R$97,01","R$100,34","R$94,70","R$93,45","R$92,54","R$90,62","R$90,87","R$87,87","R$90,02","R$100,00","R$100,00","R$100,00","R$100,00","R$100,00"
          OpenAI,BRL,"R$111,28","R$119,03","R$121,85","R$118,65","R$117,55","R$123,34","R$125,29","R$133,21","R$256,05","R$249,35","R$241,53","R$240,43","R$240,84","R$118,00","R$118,33","R$270,00","R$270,00","R$270,00","R$270,00","R$270,00"
          TypeForm,BRL,"R$1.397,91","R$1.495,19","R$605,52","R$602,70","R$582,63","R$617,90","R$320,13","R$327,94","R$312,49","R$616,73","R$608,21","R$598,08","R$599,75","R$578,00","R$594,05","R$800,00","R$800,00","R$800,00","R$800,00","R$800,00"
          Figma,BRL,"R$996,87","R$1.052,48","R$1.063,00","R$1.121,67","R$1.129,03","R$1.164,90","R$1.188,04","R$333,17","R$322,68","R$183,28","R$244,29","R$251,67","R$405,76","R$499,62","R$477,61","R$350,00","R$350,00","R$350,00","R$350,00","R$350,00"
          Superhuman,BRL,"R$167,14","R$171,11","R$176,25","R$182,04","R$181,79","R$180,63","R$244,67","R$261,72","R$260,60","R$246,31","R$246,87","R$259,36","R$243,34","R$238,90","R$233,77","R$270,00","R$270,00","R$270,00","R$270,00","R$270,00"
          Squarespace (SQSP* INV),BRL,"R$0,00","R$0,00","R$47,92","R$79,38","R$48,19","R$47,91","R$76,03","R$75,64","R$128,97","R$75,58","R$74,86","R$106,14","R$105,64","R$105,69","R$105,23","R$150,00","R$150,00","R$150,00","R$150,00","R$150,00"
          Socialhub (ASA),BRL,"R$209,14","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$199,00","R$200,00","R$200,00","R$200,00","R$200,00","R$200,00"
          Papertrail (Solarwinds),BRL,"R$77,79","R$81,67","R$85,22","R$83,97","R$82,72","R$86,33","R$87,90","R$93,18","R$88,97","R$85,76","R$85,98","R$84,99","R$84,56","R$82,39","R$82,83","R$90,00","R$90,00","R$90,00","R$90,00","R$90,00"
(Content truncated due to size limit. Use page ranges or line ranges to read remaining content)
